input	output	probability	tab.prob	Mon-er	long-more	l-more	i-er	li-more	r-er	OCP-r	cluster-more	finalStress-more
cute	er	0.940828402367	169.0	0	0	0	0	0	0	0	0	1
cute	more	0.0591715976331	169.0	1	0	0	0	0	0	0	0	0
prim	er	0.615384615385	13.0	0	0	0	0	0	0	0	0	1
prim	more	0.384615384615	13.0	1	0	0	0	0	0	0	0	0
fond	er	0.8125	112.0	0	0	0	0	0	0	0	1	1
fond	more	0.1875	112.0	1	0	0	0	0	0	0	0	0
cheap	er	0.997044334975	7105.0	0	0	0	0	0	0	0	0	1
cheap	more	0.00295566502463	7105.0	1	0	0	0	0	0	0	0	0
foul	er	0.470588235294	34.0	0	0	1	0	0	0	0	0	1
foul	more	0.529411764706	34.0	1	0	0	0	0	0	0	0	0
sleek	er	0.962441314554	213.0	0	0	0	0	0	0	0	0	1
sleek	more	0.037558685446	213.0	1	0	0	0	0	0	0	0	0
smug	er	0.7	10.0	0	0	0	0	0	0	0	0	1
smug	more	0.3	10.0	1	0	0	0	0	0	0	0	0
bright	er	0.992279096368	3497.0	0	0	0	0	0	0	0	0	1
bright	more	0.00772090363168	3497.0	1	0	0	0	0	0	0	0	0
dainty	er	0.75	16.0	0	0	0	0	0	0	0	0	0
dainty	more	0.25	16.0	0	0	0	1	0	0	0	0	0
scarce	er	0.682481751825	274.0	0	0	0	0	0	0	0	1	1
scarce	more	0.317518248175	274.0	1	0	0	0	0	0	0	0	0
cold	er	0.97365805169	2012.0	0	0	0	0	0	0	0	1	1
cold	more	0.0263419483101	2012.0	1	0	0	0	0	0	0	0	0
brittle	er	0.03125	32.0	0	0	1	0	0	0	0	0	0
brittle	more	0.96875	32.0	0	0	0	0	0	0	0	0	0
fine	er	0.987005316007	1693.0	0	0	0	0	0	0	0	0	1
fine	more	0.0129946839929	1693.0	1	0	0	0	0	0	0	0	0
busy	er	0.971943887776	499.0	0	0	0	0	0	0	0	0	0
busy	more	0.0280561122244	499.0	0	0	0	1	0	0	0	0	0
quaint	er	0.769230769231	26.0	0	0	0	0	0	0	0	1	1
quaint	more	0.230769230769	26.0	1	0	0	0	0	0	0	0	0
young	er	0.991306535473	35774.0	0	0	0	0	0	0	0	0	1
young	more	0.00869346452731	35774.0	1	0	0	0	0	0	0	0	0
vague	er	0.466666666667	105.0	0	0	0	0	0	0	0	0	1
vague	more	0.533333333333	105.0	1	0	0	0	0	0	0	0	0
late	er	0.999157790438	20185.0	0	0	0	0	0	0	0	0	1
late	more	0.000842209561556	20185.0	1	0	0	0	0	0	0	0	0
black	er	0.387254901961	612.0	0	0	0	0	0	0	0	0	1
black	more	0.612745098039	612.0	1	0	0	0	0	0	0	0	0
easy	er	0.995568467182	20309.0	0	0	0	0	0	0	0	0	0
easy	more	0.00443153281796	20309.0	0	0	0	1	0	0	0	0	0
stable	er	0.0125111706881	1119.0	0	0	1	0	0	0	0	0	0
stable	more	0.987488829312	1119.0	0	0	0	0	0	0	0	0	0
sorry	er	0.692307692308	91.0	0	0	0	0	0	0	0	0	0
sorry	more	0.307692307692	91.0	0	0	0	1	0	0	0	0	0
main	er	0.25	12.0	0	0	0	0	0	0	0	0	1
main	more	0.75	12.0	1	0	0	0	0	0	0	0	0
shrill	er	0.446428571429	56.0	0	0	1	0	0	0	0	0	1
shrill	more	0.553571428571	56.0	1	0	0	0	0	0	0	0	0
smart	er	0.993408404285	3641.0	0	0	0	0	0	0	0	1	1
smart	more	0.00659159571546	3641.0	1	0	0	0	0	0	0	0	0
plump	er	0.922077922078	77.0	0	0	0	0	0	0	0	1	1
plump	more	0.0779220779221	77.0	1	0	0	0	0	0	0	0	0
real	er	0.0336134453782	714.0	0	0	1	0	0	0	0	0	1
real	more	0.966386554622	714.0	1	0	0	0	0	0	0	0	0
pure	er	0.84900990099	404.0	0	0	0	0	0	0	1	0	1
pure	more	0.15099009901	404.0	1	0	0	0	0	1	0	0	0
ample	er	0.153846153846	26.0	0	0	1	0	0	0	0	0	0
ample	more	0.846153846154	26.0	0	0	0	0	0	0	0	0	0
big	er	0.992857142857	27860.0	0	0	0	0	0	0	0	0	1
big	more	0.00714285714286	27860.0	1	0	0	0	0	0	0	0	0
safe	er	0.976465263634	4419.0	0	0	0	0	0	0	0	0	1
safe	more	0.0235347363657	4419.0	1	0	0	0	0	0	0	0	0
fat	er	0.67786259542	655.0	0	0	0	0	0	0	0	0	1
fat	more	0.32213740458	655.0	1	0	0	0	0	0	0	0	0
dark	er	0.9896	5000.0	0	0	0	0	0	0	0	1	1
dark	more	0.0104	5000.0	1	0	0	0	0	0	0	0	0
yellow	er	0.377777777778	90.0	0	0	0	0	0	0	0	0	0
yellow	more	0.622222222222	90.0	0	0	0	0	0	0	0	0	0
fab	er	1.0	12.0	0	0	0	0	0	0	0	0	1
fab	more	0.0	12.0	1	0	0	0	0	0	0	0	0
exact	er	0.00884955752212	113.0	0	0	0	0	0	0	0	1	1
exact	more	0.991150442478	113.0	0	0	0	0	0	0	0	0	0
feeble	er	0.558139534884	43.0	0	0	1	0	0	0	0	0	0
feeble	more	0.441860465116	43.0	0	0	0	0	0	0	0	0	0
vast	er	0.762711864407	118.0	0	0	0	0	0	0	0	1	1
vast	more	0.237288135593	118.0	1	0	0	0	0	0	0	0	0
cool	er	0.982113821138	2460.0	0	0	1	0	0	0	0	0	1
cool	more	0.0178861788618	2460.0	1	0	0	0	0	0	0	0	0
snide	er	0.948717948718	39.0	0	0	0	0	0	0	0	0	1
snide	more	0.0512820512821	39.0	1	0	0	0	0	0	0	0	0
acute	er	0.00315457413249	317.0	0	0	0	0	0	0	0	0	1
acute	more	0.996845425868	317.0	0	0	0	0	0	0	0	0	0
crisp	er	0.96017699115	226.0	0	0	0	0	0	0	0	1	1
crisp	more	0.0398230088496	226.0	1	0	0	0	0	0	0	0	0
stiff	er	0.991989319092	749.0	0	0	0	0	0	0	0	0	1
stiff	more	0.00801068090788	749.0	1	0	0	0	0	0	0	0	0
shy	er	0.596774193548	62.0	0	0	0	0	0	0	0	0	1
shy	more	0.403225806452	62.0	1	0	0	0	0	0	0	0	0
mild	er	0.966507177033	836.0	0	0	0	0	0	0	0	1	1
mild	more	0.0334928229665	836.0	1	0	0	0	0	0	0	0	0
large	er	0.999114241272	46288.0	0	0	0	0	0	0	0	1	1
large	more	0.000885758727964	46288.0	1	0	0	0	0	0	0	0	0
bad	er	0.161504424779	452.0	0	0	0	0	0	0	0	0	1
bad	more	0.838495575221	452.0	1	0	0	0	0	0	0	0	0
sane	er	0.813559322034	177.0	0	0	0	0	0	0	0	0	1
sane	more	0.186440677966	177.0	1	0	0	0	0	0	0	0	0
common	er	0.0190630048465	3095.0	0	0	0	0	0	0	0	0	0
common	more	0.980936995153	3095.0	0	0	0	0	0	0	0	0	0
roast	er	0.857142857143	14.0	0	0	0	0	0	0	0	1	1
roast	more	0.142857142857	14.0	1	0	0	0	0	0	0	0	0
double	er	0.45	20.0	0	0	1	0	0	0	0	0	0
double	more	0.55	20.0	0	0	0	0	0	0	0	0	0
small	er	0.996692895427	35076.0	0	0	1	0	0	0	0	0	1
small	more	0.00330710457293	35076.0	1	0	0	0	0	0	0	0	0
obscure	er	0.00529100529101	189.0	0	0	0	0	0	0	1	0	1
obscure	more	0.994708994709	189.0	0	0	0	0	0	1	0	0	0
soft	er	0.990671641791	2680.0	0	0	0	0	0	0	0	1	1
soft	more	0.00932835820896	2680.0	1	0	0	0	0	0	0	0	0
round	er	0.950980392157	306.0	0	0	0	0	0	0	0	1	1
round	more	0.0490196078431	306.0	1	0	0	0	0	0	0	0	0
brave	er	0.974169741697	542.0	0	0	0	0	0	0	0	0	1
brave	more	0.0258302583026	542.0	1	0	0	0	0	0	0	0	0
