input	output	probability	tab.prob	beMore	beEr
W1	more	0.5	1	0	1
W1	er	0.5	1	1	0
W2	more	0.5	2	0	1
W2	er	0.5	2	1	0
W3	more	0.5	3	0	1
W3	er	0.5	3	1	0
W4	more	0.5	4	0	1
W4	er	0.5	4	1	0
W5	more	0.5	5	0	1
W5	er	0.5	5	1	0
W6	more	0.5	6	0	1
W6	er	0.5	6	1	0
W7	more	0.5	7	0	1
W7	er	0.5	7	1	0
W8	more	0.5	8	0	1
W8	er	0.5	8	1	0
W9	more	0.5	9	0	1
W9	er	0.5	9	1	0
W10	more	0.5	10	0	1
W10	er	0.5	10	1	0
W11	more	0.5	11	0	1
W11	er	0.5	11	1	0
W12	more	0.5	12	0	1
W12	er	0.5	12	1	0
W13	more	0.5	13	0	1
W13	er	0.5	13	1	0
W14	more	0.5	14	0	1
W14	er	0.5	14	1	0
W15	more	0.5	15	0	1
W15	er	0.5	15	1	0
W16	more	0.5	16	0	1
W16	er	0.5	16	1	0
W17	more	0.5	17	0	1
W17	er	0.5	17	1	0
W18	more	0.5	18	0	1
W18	er	0.5	18	1	0
W19	more	0.5	19	0	1
W19	er	0.5	19	1	0
W20	more	0.5	20	0	1
W20	er	0.5	20	1	0
W21	more	0.5	21	0	1
W21	er	0.5	21	1	0
W22	more	0.5	22	0	1
W22	er	0.5	22	1	0
W23	more	0.5	23	0	1
W23	er	0.5	23	1	0
W24	more	0.5	24	0	1
W24	er	0.5	24	1	0
W25	more	0.5	25	0	1
W25	er	0.5	25	1	0
W26	more	0.5	26	0	1
W26	er	0.5	26	1	0
W27	more	0.5	27	0	1
W27	er	0.5	27	1	0
W28	more	0.5	28	0	1
W28	er	0.5	28	1	0
W29	more	0.5	29	0	1
W29	er	0.5	29	1	0
W30	more	0.5	30	0	1
W30	er	0.5	30	1	0
W31	more	0.5	31	0	1
W31	er	0.5	31	1	0
W32	more	0.5	32	0	1
W32	er	0.5	32	1	0
W33	more	0.5	33	0	1
W33	er	0.5	33	1	0
W34	more	0.5	34	0	1
W34	er	0.5	34	1	0
W35	more	0.5	35	0	1
W35	er	0.5	35	1	0
W36	more	0.5	36	0	1
W36	er	0.5	36	1	0
W37	more	0.5	37	0	1
W37	er	0.5	37	1	0
W38	more	0.5	38	0	1
W38	er	0.5	38	1	0
W39	more	0.5	39	0	1
W39	er	0.5	39	1	0
W40	more	0.5	40	0	1
W40	er	0.5	40	1	0
W41	more	0.5	41	0	1
W41	er	0.5	41	1	0
W42	more	0.5	42	0	1
W42	er	0.5	42	1	0
W43	more	0.5	43	0	1
W43	er	0.5	43	1	0
W44	more	0.5	44	0	1
W44	er	0.5	44	1	0
W45	more	0.5	45	0	1
W45	er	0.5	45	1	0
W46	more	0.5	46	0	1
W46	er	0.5	46	1	0
W47	more	0.5	47	0	1
W47	er	0.5	47	1	0
W48	more	0.5	48	0	1
W48	er	0.5	48	1	0
W49	more	0.5	49	0	1
W49	er	0.5	49	1	0
W50	more	0.5	50	0	1
W50	er	0.5	50	1	0
W51	more	0.5	51	0	1
W51	er	0.5	51	1	0
W52	more	0.5	52	0	1
W52	er	0.5	52	1	0
W53	more	0.5	53	0	1
W53	er	0.5	53	1	0
W54	more	0.5	54	0	1
W54	er	0.5	54	1	0
W55	more	0.5	55	0	1
W55	er	0.5	55	1	0
W56	more	0.5	56	0	1
W56	er	0.5	56	1	0
W57	more	0.5	57	0	1
W57	er	0.5	57	1	0
W58	more	0.5	58	0	1
W58	er	0.5	58	1	0
W59	more	0.5	59	0	1
W59	er	0.5	59	1	0
W60	more	0.5	60	0	1
W60	er	0.5	60	1	0
W61	more	0.5	61	0	1
W61	er	0.5	61	1	0
W62	more	0.5	62	0	1
W62	er	0.5	62	1	0
W63	more	0.5	63	0	1
W63	er	0.5	63	1	0
W64	more	0.5	64	0	1
W64	er	0.5	64	1	0
W65	more	0.5	65	0	1
W65	er	0.5	65	1	0
W66	more	0.5	66	0	1
W66	er	0.5	66	1	0
W67	more	0.5	67	0	1
W67	er	0.5	67	1	0
W68	more	0.5	68	0	1
W68	er	0.5	68	1	0
W69	more	0.5	69	0	1
W69	er	0.5	69	1	0
W70	more	0.5	70	0	1
W70	er	0.5	70	1	0
W71	more	0.5	71	0	1
W71	er	0.5	71	1	0
W72	more	0.5	72	0	1
W72	er	0.5	72	1	0
W73	more	0.5	73	0	1
W73	er	0.5	73	1	0
W74	more	0.5	74	0	1
W74	er	0.5	74	1	0
W75	more	0.5	75	0	1
W75	er	0.5	75	1	0
W76	more	0.5	76	0	1
W76	er	0.5	76	1	0
W77	more	0.5	77	0	1
W77	er	0.5	77	1	0
W78	more	0.5	78	0	1
W78	er	0.5	78	1	0
W79	more	0.5	79	0	1
W79	er	0.5	79	1	0
W80	more	0.5	80	0	1
W80	er	0.5	80	1	0
W81	more	0.5	81	0	1
W81	er	0.5	81	1	0
W82	more	0.5	82	0	1
W82	er	0.5	82	1	0
W83	more	0.5	83	0	1
W83	er	0.5	83	1	0
W84	more	0.5	84	0	1
W84	er	0.5	84	1	0
W85	more	0.5	85	0	1
W85	er	0.5	85	1	0
W86	more	0.5	86	0	1
W86	er	0.5	86	1	0
W87	more	0.5	87	0	1
W87	er	0.5	87	1	0
W88	more	0.5	88	0	1
W88	er	0.5	88	1	0
W89	more	0.5	89	0	1
W89	er	0.5	89	1	0
W90	more	0.5	90	0	1
W90	er	0.5	90	1	0
W91	more	0.5	91	0	1
W91	er	0.5	91	1	0
W92	more	0.5	92	0	1
W92	er	0.5	92	1	0
W93	more	0.5	93	0	1
W93	er	0.5	93	1	0
W94	more	0.5	94	0	1
W94	er	0.5	94	1	0
W95	more	0.5	95	0	1
W95	er	0.5	95	1	0
W96	more	0.5	96	0	1
W96	er	0.5	96	1	0
W97	more	0.5	97	0	1
W97	er	0.5	97	1	0
W98	more	0.5	98	0	1
W98	er	0.5	98	1	0
W99	more	0.5	99	0	1
W99	er	0.5	99	1	0
W100	more	0.5	100	0	1
W100	er	0.5	100	1	0
