input	output	probability	tab.prob	Onset	NoCoda	No-Comp-Ons	No-Comp-Coda	Faith
CCV1	Faith	1	0.404	0	0	-1	0	0
CCV1	Unfaith	0	0.404	0	0	0	0	-1
CCVC1	Faith	1	0.014	0	-1	-1	0	0
CCVC1	Unfaith	0	0.014	0	0	0	0	-1
CCVCC1	Faith	1	0.02	0	-1	-1	-1	0
CCVCC1	Unfaith	0	0.02	0	0	0	0	-1
CVC1	Faith	1	0.048	0	-1	0	0	0
CVC1	Unfaith	0	0.048	0	0	0	0	-1
CVCC1	Faith	1	0.321	0	-1	0	-1	0
CVCC1	Unfaith	0	0.321	0	0	0	0	-1
V1	Faith	1	0.033	-1	0	0	0	0
V1	Unfaith	0	0.033	0	0	0	0	-1
VC1	Faith	1	0.039	-1	-1	0	0	0
VC1	Unfaith	0	0.039	0	0	0	0	-1
VCC1	Faith	1	0.12	-1	-1	0	-1	0
VCC1	Unfaith	0	0.12	0	0	0	0	-1
