input	output	probability	Align-R	Align-L
LLL	100	1	2	0
LLL	102	0	0	0
LLL	120	0	1	0
LLL	122	0	0	0
LLL	010	0	1	1
LLL	012	0	0	1
LLL	210	0	1	0
LLL	212	0	0	0
LLL	001	0	0	2
LLL	021	0	0	1
LLL	201	0	0	0
LLL	221	0	0	0
LLL1	100	0	2	0
LLL1	102	0	0	0
LLL1	120	0	1	0
LLL1	122	0	0	0
LLL1	010	1	1	1
LLL1	012	0	0	1
LLL1	210	0	1	0
LLL1	212	0	0	0
LLL1	001	0	0	2
LLL1	021	0	0	1
LLL1	201	0	0	0
LLL1	221	0	0	0
LLL2	100	0	2	0
LLL2	102	0	0	0
LLL2	120	0	1	0
LLL2	122	0	0	0
LLL2	010	1	1	1
LLL2	012	0	0	1
LLL2	210	0	1	0
LLL2	212	0	0	0
LLL2	001	0	0	2
LLL2	021	0	0	1
LLL2	201	0	0	0
LLL2	221	0	0	0
